MIN DC,MAX DC,THREAD,CASTING,CENTER,PERIPHERAL,INTERMEDIATE,PAD
0.496,0.515,BT-94-STS,CAST-941,C-931-962,P-931-962,No Intermediate,PAD-931-962
0.516,0.535,BT-94-STS,CAST-942,C-931-962,P-931-962,No Intermediate,PAD-931-962
0.536,0.555,BT-95-STS,CAST-951,C-931-962,P-931-962,No Intermediate,PAD-931-962
0.556,0.575,BT-95-STS,CAST-952,C-931-962,P-931-962,No Intermediate,PAD-931-962
0.576,0.594,BT-96-STS,CAST-961,C-931-962,P-931-962,No Intermediate,PAD-931-962
0.595,0.614,BT-96-STS,CAST-962,C-931-962,P-931-962,No Intermediate,PAD-931-962
0.615,0.637,BT-97-STS,CAST-971,C-971-982,P-971-982,I-971-982,PAD-971-982
0.638,0.657,BT-97-STS,CAST-972,C-971-982,P-971-982,I-971-982,PAD-971-982
0.658,0.677,BT-98-STS,CAST-981,C-971-982,P-971-982,I-971-982,PAD-971-982
0.678,0.696,BT-98-STS,CAST-982,C-971-982,P-971-982,I-971-982,PAD-971-982
0.697,0.724,BT-99-STS,CAST-991,C-991-012,P-991-022,I-991-021,PAD-991-032
0.725,0.744,BT-99-STS,CAST-992,C-991-012,P-991-022,I-991-021,PAD-991-032
0.745,0.755,BT-00-STS,CAST-001,C-991-012,P-991-022,I-991-021,PAD-991-032
0.756,0.787,BT-00-STS,CAST-002,C-991-012,P-991-022,I-991-021,PAD-991-032
0.788,0.822,BT-01-STS,CAST-011,C-991-012,P-991-022,I-991-021,PAD-991-032
0.823,0.858,BT-01-STS,CAST-012,C-991-012,P-991-022,I-991-021,PAD-991-032
0.859,0.901,BT-02-STS,CAST-021,C-021-031,P-991-022,I-991-021,PAD-991-032
0.902,0.948,BT-02-STS,CAST-022,C-021-031,P-991-022,I-022-032,PAD-991-032
0.949,0.992,BT-03-STS,CAST-031,C-021-031,P-031-042,I-022-032,PAD-991-032
0.993,1.039,BT-03-STS,CAST-032,C-032-041,P-031-042,I-022-032,PAD-991-032
1.040,1.082,BT-04-STS,CAST-041,C-032-041,P-031-042,I-041-042,PAD-041-072
1.083,1.129,BT-04-STS,CAST-042,C-042-052,P-031-042,I-041-042,PAD-041-072
1.130,1.173,BT-05-STS,CAST-051,C-042-052,P-051-062,I-051-083,PAD-041-072
1.174,1.220,BT-05-STS,CAST-052,C-042-052,P-051-062,I-051-083,PAD-041-072
1.221,1.263,BT-06-STS,CAST-061,C-061-083,P-051-062,I-051-083,PAD-041-072
1.264,1.311,BT-06-STS,CAST-062,C-061-083,P-051-062,I-051-083,PAD-041-072
1.312,1.370,BT-07-STS,CAST-071,C-061-083,P-071-072,I-051-083,PAD-041-072
1.371,1.425,BT-07-STS,CAST-072,C-061-083,P-071-072,I-051-083,PAD-041-072
1.426,1.468,BT-08-STS,CAST-081,C-061-083,P-081-083,I-051-083,PAD-081-103
1.469,1.511,BT-08-STS,CAST-082,C-061-083,P-081-083,I-051-083,PAD-081-103
1.512,1.559,BT-08-STS,CAST-083,C-061-083,P-081-083,I-051-083,PAD-081-103
1.560,1.598,BT-09-STS,CAST-091,C-091-111,P-091-113-122,I-091-111,PAD-081-103
1.599,1.645,BT-09-STS,CAST-092,C-091-111,P-091-113-122,I-091-111,PAD-081-103
1.646,1.692,BT-09-STS,CAST-093,C-091-111,P-091-113-122,I-091-111,PAD-081-103
1.693,1.744,BT-10-STS,CAST-101,C-091-111,P-091-113-122,I-091-111,PAD-081-103
1.745,1.795,BT-10-STS,CAST-102,C-091-111,P-091-113-122,I-091-111,PAD-081-103
1.796,1.850,BT-10-STS,CAST-103,C-091-111,P-091-113-122,I-091-111,PAD-081-103
1.851,1.909,BT-11-STS,CAST-111,C-091-111,P-091-113-122,I-091-111,PAD-111-134
1.910,1.972,BT-11-STS,CAST-112,C-112-123,P-091-113-122,I-112-131,PAD-111-134
1.973,2.035,BT-11-STS,CAST-113,C-112-123,P-091-113-122,I-112-131,PAD-111-134
2.036,2.094,BT-12-STS,CAST-121,C-112-123,P-121-133,I-112-131,PAD-111-134
2.095,2.153,BT-12-STS,CAST-122,C-112-123,P-091-113-122,I-112-131,PAD-111-134
2.154,2.212,BT-12-STS,CAST-123,C-112-123,P-121-133,I-112-131,PAD-111-134
2.213,2.299,BT-13-STS,CAST-131,C-131-134,P-121-133,I-112-131,PAD-111-134
2.300,2.385,BT-13-STS,CAST-132,C-131-134,P-121-133,I-132-134,PAD-111-134
2.386,2.472,BT-13-STS,CAST-133,C-131-134,P-121-133,I-132-134,PAD-111-134
2.473,2.559,BT-13-STS,CAST-134,C-131-134,P-134,I-132-134,PAD-111-134
